from_totally_fake_account,Alcohol,Bar/Pub,Books,Children,Clothing,Coffee Shop,Eating Out,Electronics,Entertainment,Exercise,High Street,Home,Pet,Supermarket,total_spending
1000.0,10.0,4716.88,8.0,160.0,145.0,2023.3799999999999,1706.39,0.0,411.88,0.0,0.0,93.0,529.0,681.9300000000001,10485.46
1002.0,49.99,4564.45,0.0,268.0,62.0,525.11,1537.17,0.0,969.88,113.0,20.46,0.0,0.0,1045.61,9155.67
1006.0,57.959999999999994,4234.29,412.0,1480.0,65.0,2075.95,1623.16,0.0,696.88,0.0,3095.05,44.0,0.0,931.2,14715.490000000002
1018.0,29.99,2533.5,20.0,59.0,2093.0,46.69,1871.36,0.0,135.0,0.0,1978.75,1219.0,30.0,1288.22,11304.509999999998
1053.0,104.97999999999999,3950.2,0.0,133.0,2676.0,819.48,2668.82,79.0,675.88,0.0,65.64,847.0,0.0,1119.22,13139.219999999998
1059.0,10.0,4251.98,480.0,1726.0,251.0,531.61,1612.6,0.0,607.0,83.0,70.91,0.0,0.0,1085.49,10709.589999999998
1071.0,154.95999999999998,3327.78,35.0,13.0,259.0,545.1,1459.41,471.0,975.88,870.0,53.0,0.0,0.0,1200.44,9364.57
1078.0,33.989999999999995,3426.94,0.0,1390.0,0.0,631.34,1438.3799999999999,0.0,441.88,161.0,592.0,0.0,0.0,5526.39,13641.920000000002
1086.0,199.97,3888.7,25.0,1145.0,1749.0,540.95,1830.44,0.0,535.88,117.0,2511.33,1702.0,60.0,1125.94,15431.21
1087.0,0.0,4791.24,43.0,111.0,106.0,2144.68,1678.52,0.0,163.0,0.0,25.0,0.0,0.0,801.15,9863.59
1113.0,10.0,4258.06,0.0,68.0,75.0,595.26,2050.84,0.0,616.0,0.0,483.0,0.0,0.0,2347.44,10503.6
1120.0,24.99,3029.71,0.0,1600.0,142.0,560.84,1631.98,0.0,83.0,0.0,2585.21,0.0,0.0,1138.05,10795.779999999999
1122.0,46.989999999999995,3249.99,0.0,1126.0,0.0,627.9,2230.51,762.0,68.0,0.0,0.0,5.0,0.0,2849.64,10966.029999999999
1125.0,159.97,3857.06,474.0,0.0,106.0,491.65,1440.75,0.0,11.0,1208.0,94.0,0.0,0.0,1576.0,9418.43
1133.0,28.979999999999997,2957.62,15.0,0.0,87.0,754.85,3086.62,54.0,348.88,0.0,531.0,160.0,240.0,3852.13,12116.080000000002
1142.0,68.99000000000001,4265.13,655.0,153.0,0.0,204.03,1745.26,0.0,13.0,0.0,438.72,0.0,2.0,1474.93,9020.06
1174.0,19.99,4075.77,533.0,193.0,163.0,593.53,1776.03,0.0,312.88,0.0,58.0,0.0,15.0,1222.41,8962.61
1179.0,59.99,4889.81,0.0,0.0,2702.0,666.38,1775.31,0.0,63.0,111.0,146.72,790.0,0.0,3133.79,14338.0
1180.0,12.0,4113.32,577.0,0.0,2077.0,534.0,1930.99,0.0,315.88,0.0,2557.4900000000002,1975.0,0.0,1101.56,15194.239999999998
1186.0,0.0,3821.61,578.0,94.0,441.0,674.87,1799.09,0.0,565.0,0.0,569.82,981.0,0.0,6288.98,15813.37
1189.0,12.0,5165.35,640.0,234.0,194.0,698.54,1714.56,0.0,187.0,284.0,481.0,326.0,0.0,3756.1,13692.550000000001
1210.0,94.97999999999999,3521.89,10.0,0.0,102.0,595.4499999999999,1156.37,0.0,233.0,109.0,20.45,0.0,60.0,1395.04,7298.179999999999
1214.0,24.99,3822.54,0.0,0.0,2023.0,2003.93,1740.46,0.0,293.88,0.0,517.0,1569.0,228.0,6230.03,18452.829999999998
1217.0,124.97999999999999,4546.9,40.0,96.0,0.0,83.08,1705.34,0.0,99.0,91.0,17.73,91.0,2.0,5814.15,12711.179999999998
1234.0,36.989999999999995,4520.7,693.0,1397.0,358.0,51.81,1227.84,0.0,72.0,1331.0,139.36,632.0,0.0,4254.4,14714.1
1255.0,28.979999999999997,3618.63,0.0,0.0,156.0,612.05,1652.99,0.0,108.0,71.0,2017.8799999999999,0.0,349.0,1356.44,9970.97
1258.0,108.97,4367.54,567.0,76.0,2897.0,519.6,1305.06,0.0,528.0,99.0,2148.32,387.0,0.0,1294.44,14297.93
1299.0,77.97999999999999,4973.36,25.0,35.0,2608.0,585.54,1942.1200000000001,241.0,792.0,109.0,24.09,926.0,10.0,5584.88,17933.97
1304.0,10.0,5081.88,15.0,39.0,428.0,329.69,3225.15,0.0,73.0,0.0,52.0,0.0,0.0,1671.08,10924.8
1309.0,0.0,3344.65,15.0,29.0,0.0,650.99,2653.81,1356.0,1010.88,0.0,92.73,0.0,60.0,6093.7,15306.759999999998
1323.0,33.989999999999995,4349.94,0.0,17.0,160.0,597.76,1471.24,0.0,374.88,0.0,2321.86,354.0,293.0,1206.75,11180.42
1357.0,21.0,4155.34,10.0,1594.0,381.0,500.8,1937.01,0.0,166.0,0.0,72.82,0.0,0.0,963.42,9801.39
1382.0,0.0,4194.89,551.0,1656.0,0.0,489.2,1610.07,0.0,312.88,0.0,2846.47,424.0,0.0,1169.44,13253.949999999999
1393.0,31.99,3592.51,0.0,80.0,1469.0,679.9399999999999,1231.83,0.0,753.88,0.0,74.0,1526.0,0.0,6033.65,15472.8
1399.0,0.0,4032.6,17.0,0.0,1934.0,589.11,1304.53,0.0,371.88,103.0,70.0,1265.0,0.0,6076.79,15763.91
1433.0,74.98,4638.4,35.0,25.0,167.0,983.71,2550.51,261.0,310.88,0.0,11.36,169.0,0.0,1635.76,10862.599999999999
1443.0,36.989999999999995,4717.36,60.0,2134.0,1730.0,560.24,1820.18,0.0,360.88,0.0,37.27,1398.0,15.0,555.59,13425.509999999998
1460.0,74.99,3655.32,0.0,43.0,190.0,2252.76,2572.68,0.0,390.88,119.0,37.0,47.0,2.0,1545.93,10930.56
1471.0,83.99,4222.27,391.0,150.0,2786.0,568.74,1398.55,0.0,388.88,162.0,115.46000000000001,1251.0,45.0,4406.49,15969.379999999997
1487.0,9.0,3583.58,627.0,0.0,267.0,131.89000000000001,1789.3,0.0,33.0,120.0,325.82,128.0,60.0,5319.68,12394.27
1489.0,17.990000000000002,3461.71,20.0,187.0,161.0,265.3,2542.72,0.0,5.0,98.0,541.36,0.0,368.0,1063.66,8731.74
1490.0,20.990000000000002,4553.58,20.0,0.0,0.0,2025.66,1449.9,0.0,116.0,0.0,2191.25,0.0,20.0,1258.03,11655.41
1505.0,10.0,4621.27,5.0,89.0,2363.0,598.57,1446.97,41.0,61.0,0.0,0.0,1299.0,27.0,621.01,11182.82
1507.0,9.0,3908.72,17.0,1776.0,3113.0,1993.05,2392.89,71.0,137.0,0.0,87.27000000000001,1594.0,374.0,1203.15,16676.079999999998
1529.0,10.0,3394.57,0.0,35.0,2231.0,589.4,1822.14,0.0,46.0,0.0,97.37,734.0,0.0,1355.6,10315.08
1563.0,89.96,4275.5,584.0,0.0,102.0,2296.83,2726.46,0.0,172.0,0.0,45.82,709.0,30.0,1099.94,12131.51
1569.0,12.0,3490.28,54.0,55.0,344.0,2073.36,1397.29,0.0,287.88,0.0,25.27,112.0,17.0,5204.09,13072.170000000002
1572.0,52.989999999999995,4744.47,42.0,77.0,175.0,658.64,1582.1,0.0,972.88,0.0,86.91,799.0,5.0,6394.95,15590.939999999999
1596.0,144.95,4607.61,834.0,211.0,0.0,712.64,1458.22,0.0,619.88,0.0,46.82,44.0,0.0,1590.25,10269.369999999999
1607.0,46.99,4656.76,383.0,156.0,388.0,2097.52,1822.01,0.0,402.88,0.0,469.0,0.0,0.0,1988.16,12410.32
1615.0,24.0,3780.76,32.0,101.0,1782.0,881.1,2893.49,0.0,458.88,43.0,1707.87,1134.0,5.0,1551.56,14394.659999999998
1622.0,9.0,3880.07,30.0,1944.0,0.0,159.67,1224.18,0.0,598.0,0.0,73.17,0.0,0.0,1134.16,9052.25
1623.0,220.95999999999998,4415.15,36.0,1709.0,860.0,614.78,1486.86,1500.0,464.0,1042.0,36.36,168.0,0.0,3829.09,16382.2
