Sender_Account_Num,rfm_score,importance_flag
1000,443,High
1002,421,Mid
1006,442,High
1018,111,Low
1053,432,High
1059,421,Mid
1071,411,Mid
1078,411,Mid
1086,432,High
1087,441,High
1113,411,Mid
1120,422,Mid
1122,114,Low
1125,411,Mid
1133,433,High
1142,111,Low
1174,421,Mid
1179,434,High
1180,434,High
1186,421,Mid
1189,432,High
1210,411,Mid
1214,444,High
1217,112,Low
1234,413,Mid
1255,122,Low
1258,422,Mid
1299,433,High
1304,134,Low
1309,434,High
1323,131,Low
1357,421,Mid
1382,132,Low
1393,411,Mid
1399,414,Mid
1433,433,High
1443,422,Mid
1460,441,High
1471,434,High
1487,111,Low
1489,413,Mid
1490,444,High
1505,421,Mid
1507,443,High
1529,111,Low
1563,442,High
1569,442,High
1572,432,High
1596,121,Low
1607,444,High
1615,444,High
1622,111,Low
1623,134,Low
1631,441,High
1634,414,Mid
1639,412,Mid
1642,443,High
1644,441,High
1661,413,Mid
1675,424,High
1689,134,Low
1697,441,High
1703,443,High
1715,423,High
1717,414,Mid
1718,424,High
1730,441,High
1736,421,Mid
1757,412,Mid
1784,413,Mid
1786,434,High
1793,422,Mid
1799,122,Low
1800,411,Mid
1808,443,High
1815,422,Mid
1823,444,High
1827,423,High
1828,421,Mid
1835,121,Low
1838,422,Mid
1908,414,Mid
1910,142,Mid
1931,442,High
1990,423,High
2004,111,Low
2019,413,Mid
2029,123,Low
2030,434,High
2035,433,High
2044,411,Mid
2069,414,Mid
2071,444,High
2076,444,High
2090,411,Mid
2097,431,High
2100,442,High
2108,443,High
2116,441,High
2126,422,Mid
2137,441,High
2152,441,High
2171,424,High
2182,413,Mid
2211,421,Mid
2213,432,High
2214,432,High
2236,432,High
2249,412,Mid
2258,112,Low
2260,432,High
2274,442,High
2288,431,High
2294,444,High
2306,412,Mid
2308,434,High
2315,443,High
2331,444,High
2369,424,High
2387,422,Mid
2390,443,High
2430,434,High
2440,422,Mid
2446,411,Mid
2486,413,Mid
2487,112,Low
2493,421,Mid
2518,443,High
2528,114,Low
2538,413,Mid
2574,431,High
2580,434,High
2585,424,High
2632,431,High
2641,443,High
2647,444,High
2663,442,High
2666,422,Mid
2677,422,Mid
2710,413,Mid
2711,442,High
2719,423,High
2760,442,High
2767,441,High
2771,444,High
2778,443,High
2779,443,High
2795,434,High
2817,441,High
2838,114,Low
2844,413,Mid
2852,122,Low
2854,434,High
2858,434,High
2862,444,High
2876,421,Mid
2881,434,High
2888,112,Low
2895,434,High
2910,443,High
2984,422,Mid
2987,431,High
2997,421,Mid
3017,443,High
3045,412,Mid
3048,434,High
3070,412,Mid
3083,111,Low
3093,423,High
3102,424,High
3107,433,High
3109,413,Mid
3142,423,High
3143,442,High
3145,413,Mid
3158,133,Low
3217,431,High
3226,444,High
3237,444,High
3241,434,High
3252,423,High
3269,441,High
3285,112,Low
3287,434,High
3291,414,Mid
3296,443,High
3317,441,High
3329,122,Low
3362,424,High
3378,413,Mid
3381,111,Low
3395,431,High
3402,112,Low
3417,114,Low
3431,432,High
3456,444,High
3458,444,High
3465,434,High
3472,413,Mid
3498,443,High
3512,114,Low
3521,121,Low
3559,122,Low
3575,434,High
3577,121,Low
