Sender_Account_Num,rfm_score,importance_flag
1000,443,High
1002,421,High
1006,442,High
1018,411,Mid
1053,432,High
1059,421,High
1071,411,Mid
1078,411,Mid
1086,432,High
1087,441,High
1113,411,Mid
1120,422,High
1122,414,High
1125,411,Mid
1133,433,High
1142,411,Mid
1174,421,High
1179,434,High
1180,434,High
1186,421,High
1189,432,High
1210,411,Mid
1214,444,High
1217,112,Low
1234,413,High
1255,422,High
1258,422,High
1299,433,High
1304,434,High
1309,434,High
1323,431,High
1357,421,High
1382,332,Mid
1393,411,Mid
1399,414,High
1433,433,High
1443,422,High
1460,441,High
1471,434,High
1487,211,Low
1489,413,High
1490,444,High
1505,421,High
1507,443,High
1529,411,Mid
1563,442,High
1569,442,High
1572,432,High
1596,421,High
1607,444,High
1615,444,High
1622,211,Low
1623,434,High
1631,441,High
1634,414,High
1639,412,Mid
1642,443,High
1644,441,High
1661,413,High
1675,424,High
1689,434,High
1697,441,High
1703,443,High
1715,423,High
1717,414,High
1718,424,High
1730,441,High
1736,421,High
1757,412,Mid
1784,413,High
1786,434,High
1793,422,High
1799,422,High
1800,411,Mid
1808,443,High
1815,422,High
1823,444,High
1827,423,High
1828,421,High
1835,321,Mid
1838,422,High
1908,414,High
1910,442,High
1931,442,High
1990,423,High
2004,311,Mid
2019,413,High
2029,423,High
2030,434,High
2035,433,High
2044,411,Mid
2069,414,High
2071,444,High
2076,444,High
2090,411,Mid
2097,431,High
2100,442,High
2108,443,High
2116,441,High
2126,422,High
2137,441,High
2152,441,High
2171,424,High
2182,413,High
2211,421,High
2213,432,High
2214,432,High
2236,432,High
2249,412,Mid
2258,412,Mid
2260,432,High
2274,442,High
2288,431,High
2294,444,High
2306,412,Mid
2308,434,High
2315,443,High
2331,444,High
2369,424,High
2387,422,High
2390,443,High
2430,434,High
2440,422,High
2446,411,Mid
2486,413,High
2487,212,Low
2493,421,High
2518,443,High
2528,414,High
2538,413,High
2574,431,High
2580,434,High
2585,424,High
2632,431,High
2641,443,High
2647,444,High
2663,442,High
2666,422,High
2677,422,High
2710,413,High
2711,442,High
2719,423,High
2760,442,High
2767,441,High
2771,444,High
2778,443,High
2779,443,High
2795,434,High
2817,441,High
2838,214,Low
2844,413,High
2852,222,Low
2854,434,High
2858,434,High
2862,444,High
2876,421,High
2881,434,High
2888,212,Low
2895,434,High
2910,443,High
2984,422,High
2987,431,High
2997,421,High
3017,443,High
3045,412,Mid
3048,434,High
3070,412,Mid
3083,411,Mid
3093,423,High
3102,424,High
3107,433,High
3109,413,High
3142,423,High
3143,442,High
3145,413,High
3158,333,Mid
3217,431,High
3226,444,High
3237,444,High
3241,434,High
3252,423,High
3269,441,High
3285,412,Mid
3287,434,High
3291,414,High
3296,443,High
3317,441,High
3329,422,High
3362,424,High
3378,413,High
3381,411,Mid
3395,431,High
3402,412,Mid
3417,214,Low
3431,432,High
3456,444,High
3458,444,High
3465,434,High
3472,413,High
3498,443,High
3512,414,High
3521,421,High
3559,422,High
3575,434,High
3577,421,High
3580,441,High
3582,412,Mid
3599,444,High
3602,433,High
3615,422,High
3634,412,Mid
3638,441,High
3642,411,Mid
3650,441,High
3675,412,Mid
3694,421,High
3704,424,High
3712,424,High
3765,421,High
3776,414,High
3786,424,High
3795,431,High
3800,423,High
3822,431,High
3838,424,High
3868,443,High
3880,431,High
3890,442,High
3896,433,High
3905,421,High
3907,411,Mid
3934,213,Low
3939,443,High
3958,411,Mid
3970,433,High
3994,414,High
4009,441,High
4018,423,High
4021,442,High
4044,443,High
4047,421,High
4081,423,High
4083,414,High
4106,414,High
4107,432,High
4125,443,High
4141,423,High
4142,424,High
4148,444,High
4154,413,High
4171,211,Low
4177,421,High
4206,444,High
4212,411,Mid
4230,411,Mid
4239,424,High
4265,433,High
4276,422,High
4279,443,High
4301,411,Mid
4305,442,High
4309,434,High
4313,434,High
4324,431,High
4336,421,High
4343,421,High
4386,422,High
4403,432,High
4416,441,High
4428,421,High
4463,432,High
4465,433,High
4490,424,High
4494,432,High
4497,413,High
4498,444,High
4511,212,Low
4516,441,High
4518,421,High
4526,444,High
4548,434,High
4549,422,High
4555,442,High
4558,444,High
4559,411,Mid
4571,414,High
4572,442,High
4585,442,High
4614,432,High
4621,411,Mid
4623,441,High
4651,411,Mid
4655,413,High
4686,433,High
4690,434,High
4691,413,High
4695,433,High
4697,444,High
4708,411,Mid
4710,442,High
4717,433,High
4731,444,High
4739,411,Mid
4754,411,Mid
4759,433,High
4767,431,High
4809,443,High
4815,432,High
4818,431,High
4819,422,High
4820,322,Mid
4823,432,High
4824,444,High
4832,432,High
4837,444,High
4838,433,High
4840,423,High
4861,421,High
4871,422,High
4875,434,High
4888,444,High
4898,431,High
4903,412,Mid
4905,434,High
4930,432,High
4931,414,High
4955,434,High
4958,444,High
4976,421,High
4993,414,High
5001,444,High
5039,433,High
5057,411,Mid
5058,432,High
5063,411,Mid
5068,413,High
5093,431,High
5108,443,High
5119,434,High
5127,411,Mid
5164,423,High
5167,211,Low
5173,432,High
5174,442,High
5180,411,Mid
5198,411,Mid
5200,412,Mid
5215,432,High
5219,413,High
5222,433,High
5237,411,Mid
5241,423,High
5248,423,High
5251,433,High
5261,423,High
5266,424,High
5276,411,Mid
5280,323,Mid
5283,443,High
5285,434,High
5289,442,High
5291,432,High
5292,424,High
5298,443,High
5299,414,High
5300,413,High
5304,444,High
5307,424,High
5319,443,High
5322,444,High
5338,423,High
5347,422,High
5353,414,High
5357,443,High
5378,214,Low
5391,411,Mid
5394,411,Mid
5403,414,High
5412,412,Mid
5439,421,High
5457,312,Mid
5462,431,High
5486,442,High
5491,413,High
5494,324,Mid
5499,423,High
5500,211,Low
5501,434,High
5511,432,High
5514,441,High
5522,442,High
5525,431,High
5538,423,High
5556,412,Mid
5569,444,High
5580,434,High
5589,422,High
5615,421,High
5620,424,High
5653,444,High
5671,432,High
5679,433,High
5701,442,High
5706,423,High
5720,411,Mid
5733,414,High
5740,444,High
5782,423,High
5784,414,High
5797,444,High
5803,422,High
5805,442,High
5809,421,High
5831,443,High
5844,432,High
5852,443,High
5853,442,High
5876,424,High
5882,421,High
5889,411,Mid
5890,421,High
5919,413,High
5936,423,High
5941,441,High
5960,443,High
5979,424,High
5984,443,High
6010,432,High
6016,431,High
6030,424,High
6031,212,Low
6046,412,Mid
6048,434,High
6053,442,High
6058,442,High
6059,431,High
6060,323,Mid
6094,422,High
6097,424,High
6100,411,Mid
6104,421,High
6107,314,Mid
6154,443,High
6186,411,Mid
6194,211,Low
6211,421,High
6233,442,High
6234,414,High
6246,423,High
6286,311,Mid
6289,424,High
6293,411,Mid
6295,422,High
6296,322,Mid
6302,431,High
6315,321,Mid
6327,421,High
6339,433,High
6347,442,High
6360,442,High
6361,411,Mid
6362,221,Low
6406,444,High
6415,422,High
6431,431,High
6445,411,Mid
6459,442,High
6468,421,High
6508,444,High
6517,443,High
6518,444,High
6536,434,High
6540,442,High
6545,434,High
6563,431,High
6567,433,High
6574,434,High
6575,432,High
6589,412,Mid
6616,443,High
6627,421,High
