Sender_Account_Num,R,F,M,importance_flag,cluster_label
1000,4,4,3,High,0
1002,4,2,1,Mid,1
1006,4,4,2,High,2
1018,1,1,1,Low,2
1053,4,3,2,High,3
1059,4,2,1,Mid,4
1071,4,1,1,Mid,5
1078,4,1,1,Mid,4
1086,4,3,2,High,2
1087,4,4,1,High,0
1113,4,1,1,Mid,1
1120,4,2,2,Mid,2
1122,1,1,4,Low,6
1125,4,1,1,Mid,5
1133,4,3,3,High,4
1142,1,1,1,Low,7
1174,4,2,1,Mid,7
1179,4,3,4,High,3
1180,4,3,4,High,2
1186,4,2,1,Mid,7
1189,4,3,2,High,7
1210,4,1,1,Mid,1
1214,4,4,4,High,8
1217,1,1,2,Low,1
1234,4,1,3,Mid,5
1255,1,2,2,Low,2
1258,4,2,2,Mid,2
1299,4,3,3,High,3
1304,1,3,4,Low,1
1309,4,3,4,High,6
1323,1,3,1,Low,2
1357,4,2,1,Mid,4
1382,1,3,2,Low,2
1393,4,1,1,Mid,3
1399,4,1,4,Mid,3
1433,4,3,3,High,1
1443,4,2,2,Mid,3
1460,4,4,1,High,0
1471,4,3,4,High,3
1487,1,1,1,Low,7
1489,4,1,3,Mid,4
1490,4,4,4,High,2
1505,4,2,1,Mid,3
1507,4,4,3,High,8
1529,1,1,1,Low,3
1563,4,4,2,High,0
1569,4,4,2,High,0
1572,4,3,2,High,1
1596,1,2,1,Low,7
1607,4,4,4,High,0
1615,4,4,4,High,2
1622,1,1,1,Low,4
1623,1,3,4,Low,6
1631,4,4,1,High,2
1634,4,1,4,Mid,3
1639,4,1,2,Mid,7
1642,4,4,3,High,0
1644,4,4,1,High,0
1661,4,1,3,Mid,3
1675,4,2,4,High,6
1689,1,3,4,Low,5
1697,4,4,1,High,0
1703,4,4,3,High,0
1715,4,2,3,High,9
1717,4,1,4,Mid,1
1718,4,2,4,High,6
1730,4,4,1,High,2
1736,4,2,1,Mid,2
1757,4,1,2,Mid,4
1784,4,1,3,Mid,2
1786,4,3,4,High,9
1793,4,2,2,Mid,6
1799,1,2,2,Low,5
1800,4,1,1,Mid,1
1808,4,4,3,High,0
1815,4,2,2,Mid,1
1823,4,4,4,High,0
1827,4,2,3,High,3
1828,4,2,1,Mid,4
1835,1,2,1,Low,6
1838,4,2,2,Mid,2
1908,4,1,4,Mid,3
1910,1,4,2,Mid,8
1931,4,4,2,High,0
1990,4,2,3,High,4
2004,1,1,1,Low,7
2019,4,1,3,Mid,7
2029,1,2,3,Low,2
2030,4,3,4,High,9
2035,4,3,3,High,4
2044,4,1,1,Mid,1
2069,4,1,4,Mid,5
2071,4,4,4,High,0
2076,4,4,4,High,8
2090,4,1,1,Mid,4
2097,4,3,1,High,7
2100,4,4,2,High,0
